Date,KBANK
2012-03-29,155.25
2012-03-30,155.75
2012-04-02,155.75
2012-04-03,158.5
2012-04-04,158.5
2012-04-05,154.25
2012-04-10,152.0
2012-04-11,148.75
2012-04-12,152.0
2012-04-17,153.0
2012-04-18,152.25
2012-04-19,156.0
2012-04-20,156.5
2012-04-23,155.0
2012-04-24,155.0
2012-04-25,154.75
2012-04-26,155.25
2012-04-27,155.0
2012-04-30,159.75
2012-05-02,162.5
2012-05-03,162.5
2012-05-04,161.0
2012-05-08,160.25
2012-05-09,156.75
2012-05-10,153.25
2012-05-11,152.25
2012-05-14,151.5
2012-05-15,152.75
2012-05-16,151.25
2012-05-17,152.25
2012-05-18,151.0
2012-05-21,149.75
2012-05-22,146.5
2012-05-23,143.25
2012-05-24,146.0
2012-05-25,148.5
2012-05-28,149.25
2012-05-29,150.5
2012-05-30,150.5
2012-05-31,152.0
2012-06-01,150.5
2012-06-05,146.25
2012-06-06,145.75
2012-06-07,149.0
2012-06-08,149.5
2012-06-11,155.0
2012-06-12,155.25
2012-06-13,157.5
2012-06-14,156.25
2012-06-15,158.25
2012-06-18,159.0
2012-06-19,159.0
2012-06-20,160.5
2012-06-21,157.75
2012-06-22,157.5
2012-06-25,159.75
2012-06-26,160.25
2012-06-27,162.75
2012-06-28,162.75
2012-06-29,162.5
2012-07-02,163.25
2012-07-03,165.0
2012-07-04,164.75
2012-07-05,163.0
2012-07-06,162.75
2012-07-09,161.5
2012-07-10,163.0
2012-07-11,163.5
2012-07-12,162.5
2012-07-13,163.0
2012-07-16,165.75
2012-07-17,166.5
2012-07-18,165.75
2012-07-19,165.0
2012-07-20,162.25
2012-07-23,160.0
2012-07-24,161.25
2012-07-25,164.0
2012-07-26,165.25
2012-07-27,166.5
2012-07-30,169.5
2012-07-31,175.0
2012-08-01,175.0
2012-08-03,173.75
2012-08-06,173.5
2012-08-07,172.5
2012-08-08,171.75
2012-08-09,173.5
2012-08-10,174.0
2012-08-14,174.75
2012-08-15,175.75
2012-08-16,174.5
2012-08-17,172.5
2012-08-20,170.5
2012-08-21,170.5
2012-08-22,171.5
2012-08-23,172.5
2012-08-24,171.0
2012-08-27,171.0
2012-08-28,172.0
2012-08-29,169.75
2012-08-30,166.25
2012-08-31,167.25
2012-09-03,171.25
2012-09-04,171.25
2012-09-05,170.75
2012-09-06,175.5
2012-09-07,176.25
2012-09-10,175.0
2012-09-11,173.75
2012-09-12,176.25
2012-09-13,178.5
2012-09-14,183.75
2012-09-17,184.75
2012-09-18,182.25
2012-09-19,182.0
2012-09-20,182.5
2012-09-21,183.75
2012-09-24,185.75
